文献,矿名,份,市/县,岩性,密度（kg*m3）,体积模量（Gpa）,剪切模量/GPa,内聚力（MPa）,内摩擦角,抗拉强度（MPa）,抗压强度/MPa,弹性模量（Gpa）,泊松比,埋深,厚度,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,砂质泥岩,,8.16,5.8,0.7,26,,30.5,,,432,6,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,细砂岩,,10.6,9.1,2.2,32,,32.8,,,438,8,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,粉砂岩,,9.94,6.5,3.2,30,,43,,,446,3,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,粉砂质泥岩,,8.16,5.8,0.7,26,,30.5,,,449,4,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,煤层1,,3.22,1,0.6,25,,18,,,453,5,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,粉砂质泥岩,,8.16,5.8,0.7,26,,30.5,,,458,5,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,细砂岩,,9.82,6.7,1.6,32,,32.8,,,465,7,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,煤层2,,3.22,1,0.6,25,,18,,,468.2,3.2,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,砂质泥岩,,8.16,5.8,0.7,26,,30.5,,,472.2,4,,,,,
厚硬顶板采场诱发逆断层失稳的力学机制研究,土城区某矿,贵州,,粉砂岩,,9.94,6.5,3.2,35,,43,,,498.2,26,,,,,
采动诱发断层活化响应机制特征研究,安居煤矿,山东,济宁,细砂岩,2600,22.92,13.1,2.8,37,1.8,,,,950,,,,,,
采动诱发断层活化响应机制特征研究,安居煤矿,山东,,中砂岩,2700,19.79,11.31,8.5,39,1.7,,,,950,,,,,,
采动诱发断层活化响应机制特征研究,安居煤矿,山东,,煤层,1330,2.67,1.6,1,21,1.2,,,,950,,,,,,
采动诱发断层活化响应机制特征研究,安居煤矿,山东,,粉砂岩,2561,6.37,4.61,1.8,32,4.04,,,,950,,,,,,
采动诱发断层活化响应机制特征研究,安居煤矿,山东,,砂质泥岩,2500,21.53,12.3,2.6,39,2.2,,,,950,,,,,,
采动诱发断层活化响应机制特征研究,安居煤矿,山东,,砾岩,2800,29.17,13.46,8,37,3,,,,950,,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,大同市,粉砂岩,2350,,,2.6,33,3.85,22.5,,,49.6,22,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,细粒砂岩,2500,,,1.7,36,2.37,23.4,,,71.6,114.4,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,粉砂岩,2350,,,2.3,33,2.77,35,,,186,2,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,8煤,1350,,,1.2,26,1.21,18.6,,,188,1.5,,,,,
近距离煤层底板应力分布规律及巷道布局研究,唐山沟煤矿,山西,,粉砂岩,2350,,,2.3,33,3.17,29.2,,,189.5,9.3,,,,,
