文献,矿名,份,市/县,岩性,密度（kg*m3）,体积模量（Gpa）,剪切模量/GPa,内聚力（MPa）,内摩擦角,抗拉强度（MPa）,抗压强度/MPa,弹性模量（Gpa）,泊松比,埋深,厚度,,,,,
采场底板破坏特征及稳定性理论分析与试验研究,华泰煤矿,黑龙江,,砂质泥岩,2600,,,31,,,22.8,,,697.5,2.5,,,,,
采场底板破坏特征及稳定性理论分析与试验研究,华泰煤矿,黑龙江,,细砂岩,2500,,,35,,,42.2,,,700,5,,,,,
采场底板破坏特征及稳定性理论分析与试验研究,华泰煤矿,黑龙江,,15 煤,1400,,,19,,,11.2,,,705,4,,,,,
采场底板破坏特征及稳定性理论分析与试验研究,华泰煤矿,黑龙江,,中砂岩,2700,,,32,,,36,,,709,2,,,,,
采场底板破坏特征及稳定性理论分析与试验研究,华泰煤矿,黑龙江,,16 煤、夹石,2400,,,33,,,32,,,711,4.5,,,,,
采场底板破坏特征及稳定性理论分析与试验研究,华泰煤矿,黑龙江,,粉砂岩,2500,,,32,,,32.1,,,715.5,25.5,,,,,
采场底板破坏特征及稳定性理论分析与试验研究,华泰煤矿,黑龙江,,中砂岩,2700,,,32,,,36,,,741,25,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,松辽平原南部,页岩,,5.2,2.7,1.3,30,4.6,22.1,6.97,0.28,575,9.8,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,细砂岩,,16.4,5,2.1,38,6.82,25.6,13.84,0.32,584.8,5.5,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,1#煤,,0.4,0.3,0.5,26,0.12,3.9,0.8,0.21,590.3,4.7,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,细砂岩,,13.2,5.1,2.3,39,6.31,58.2,13.56,0.33,595,5,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,砂岩,,9.5,5.2,3.1,35,8.87,70.5,13.24,0.27,600,13,,,,,0.666666667
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,粗砂岩,,12.4,5.4,3.9,42,10.14,71.2,14.16,0.31,613,18,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,4#煤,,0.4,0.2,0.5,24,0.19,2.81,0.72,0.21,631,5,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,砂岩,,8.2,5.6,2.1,32,8.56,81.2,13.81,0.22,636,34,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,6#煤,,0.5,0.3,0.4,25,0.11,1.55,0.89,0.2,670,5,,,,,
急倾斜煤层坚硬顶板塌落规律及控制研究,红杨五矿,辽宁,,砂岩,,10.9,5.3,4.2,36,8.02,75.4,13.72,0.29,675,53,,,,,
中厚煤层复合顶板切顶卸压自动成巷工作面矿压显现特征分析,塔山煤矿,山西,太原市,泥岩,2300,0.2,0.15,0.2,28,3.2,,,,377.93,1.44,,,,,
中厚煤层复合顶板切顶卸压自动成巷工作面矿压显现特征分析,塔山煤矿,山西,,细砂岩,2400,3.81,3.05,1,32,7.3,,,,379.37,5.46,,,,,
中厚煤层复合顶板切顶卸压自动成巷工作面矿压显现特征分析,塔山煤矿,山西,,中砂岩,2500,11.49,7.26,2.6,33,8.4,,,,384.83,2.89,,,,,
中厚煤层复合顶板切顶卸压自动成巷工作面矿压显现特征分析,塔山煤矿,山西,,粉砂岩,2300,2.11,1.86,0.8,32,4.3,,,,387.72,1.28,,,,,
超前预掘留巷开采与常规留巷开采巷道破坏特征对比及成因分析,欣欣煤矿,云南,曲靖市,粉砂岩,2700,,,1.65,34,1.5,,38.7,0.35,485,,,,,,
超前预掘留巷开采与常规留巷开采巷道破坏特征对比及成因分析,欣欣煤矿,云南,,砂质泥岩,2650,,,0.64,29,1.2,,26.5,0.32,485,,,,,,
超前预掘留巷开采与常规留巷开采巷道破坏特征对比及成因分析,欣欣煤矿,云南,,煤,2000,,,0.8,24,0.7,,8.2,0.32,485,,,,,,
超前预掘留巷开采与常规留巷开采巷道破坏特征对比及成因分析,欣欣煤矿,云南,,砂质泥岩,2500,,,0.51,28,1.1,,18.2,0.3,485,,,,,,
超前预掘留巷开采与常规留巷开采巷道破坏特征对比及成因分析,欣欣煤矿,云南,,细砂岩,2600,,,1.43,34,1.5,,31.7,0.33,485,,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,细粒砂岩,,10.4,6,9.1,33,,,,,437.34,,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,中砾岩,,8.2,5,7.8,31,,,,,437.34,,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,细粒砂岩,,10.4,6,9.1,33,,,,,437.34,,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,粉砂岩,,8.2,5.9,8.9,32,,,,,437.34,39.81,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,中粒砂岩,,15.2,6,9.5,41,,,,,477.15,51.28,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,中砾岩,,8.2,5,7.8,31,,,,,528.43,23.71,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,粗粒砂岩,,3.2,0.9,2.7,25,,,,,552.14,10.9,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,粉砂岩,,8.2,5.9,8.9,32,,,,,563.04,16.37,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,中粒砂岩,,15.2,6,9.5,41,,,,,579.41,18.5,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,粉砂岩,,8.2,5.9,8.9,32,,,,,597.91,19.24,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,粗粒砂岩,,3.2,0.9,2.7,25,,,,,617.15,28.95,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,砂质泥岩,,3.4,1.2,8.5,25,,,,,646.1,13.6,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,煤,,4.2,1.2,7.5,24,,,,,659.7,5.7,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,砂质泥岩,,5.9,3.2,8.5,29,,,,,665.4,7.46,,,,,
采区坚硬岩层动力灾害致灾能量演化及充填弱化机理研究,某矿,内蒙古,,粗粒砂岩,,12,6.2,9.4,38,,,,,672.86,4.63,,,,,
水力压裂对末采矿压显现规律的影响研究,隆德煤矿,陕西,神木县,风积沙,2000,,,0,30,0,,0.06,0.3,0,,,,,,
水力压裂对末采矿压显现规律的影响研究,隆德煤矿,陕西,,红土,1900,,,0.04,28,0,,0.046,0.32,80,,,,,,
水力压裂对末采矿压显现规律的影响研究,隆德煤矿,陕西,,粉砂岩,2700,,,2.7,34,2.5,,7.1,0.25,140,,,,,,
水力压裂对末采矿压显现规律的影响研究,隆德煤矿,陕西,,细砂岩,2750,,,2.9,35,2.8,,7.5,0.23,160,,,,,,
水力压裂对末采矿压显现规律的影响研究,隆德煤矿,陕西,,中砂岩,2630,,,2.4,32,2.1,,6.6,0.24,170,,,,,,
水力压裂对末采矿压显现规律的影响研究,隆德煤矿,陕西,,砂煤互层,2550,,,1.7,30,1.6,,4.7,0.3,175,,,,,,
水力压裂对末采矿压显现规律的影响研究,隆德煤矿,陕西,,煤,1400,,,1.2,31,1,,2.5,0.31,180,,,,,,
基于顶板水力压裂卸压的应力场响应机制研究及应用,口孜东矿,安徽,阜阳市,泥岩,,,,11.74,27,3.73,,14.69,0.25,1000,,,,,,
基于顶板水力压裂卸压的应力场响应机制研究及应用,口孜东矿,安徽,,砂质泥岩,,,,13.25,29,5.4,,17.5,0.22,1000,,,,,,
基于顶板水力压裂卸压的应力场响应机制研究及应用,口孜东矿,安徽,,煤,,,,4.57,35,1.63,,2.83,0.23,1000,,,,,,
基于顶板水力压裂卸压的应力场响应机制研究及应用,口孜东矿,安徽,,砂岩,,,,17.15,34,6.87,,21.22,0.16,1000,,,,,,
特厚高位顶板切顶自成巷围岩控制技术,响水煤矿,贵州,响水镇,泥岩,2200,0.32,0.18,1.05,24,0.32,,,,203,,,,,,
特厚高位顶板切顶自成巷围岩控制技术,响水煤矿,贵州,,粉砂质泥岩,2400,5.49,3.26,2.42,46,0.84,,,,203,,,,,,
特厚高位顶板切顶自成巷围岩控制技术,响水煤矿,贵州,,泥灰岩,2300,0.35,0.25,2.22,29,0.42,,,,203,,,,,,
特厚高位顶板切顶自成巷围岩控制技术,响水煤矿,贵州,,3#煤,1300,0.3,0.15,0.613,23,0.31,,,,203,,,,,,
特厚高位顶板切顶自成巷围岩控制技术,响水煤矿,贵州,,粉砂岩,2500,2.11,1.86,1.28,28,0.43,,,,203,,,,,,
急倾斜特厚煤层工作面非对称冲击矿压机理,窑街三矿,甘肃,兰州市红古区,油页岩,2500,,,8.7,38,4.8,,10.4,0.27,500,,,,,,
急倾斜特厚煤层工作面非对称冲击矿压机理,窑街三矿,甘肃,,粉砂岩,2700,,,9.8,39,4.3,,9.4,0.28,500,,,,,,
急倾斜特厚煤层工作面非对称冲击矿压机理,窑街三矿,甘肃,,泥岩,2800,,,4.3,37,3.3,,5.52,0.27,500,,,,,,
急倾斜特厚煤层工作面非对称冲击矿压机理,窑街三矿,甘肃,,细砂岩,2800,,,14.5,41,3.7,,7.1,0.3,500,,,,,,
急倾斜特厚煤层工作面非对称冲击矿压机理,窑街三矿,甘肃,,煤,1400,,,1.4,34,2.1,,3.08,0.26,500,,,,,,
急倾斜特厚煤层工作面非对称冲击矿压机理,窑街三矿,甘肃,,粗砂岩,2900,,,11.3,38,4.1,,9.6,0.27,500,,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,大同市,粗粒砂岩,2700,,,2.7,32,1.5,,7.2,0.26,370.2,12.4,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,细粒砂岩,2756,,,3.83,33,1.8,,10.83,0.26,382.6,6.5,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,粉砂岩,2300,,,2.02,31,0.95,,4.37,0.28,389.1,3.4,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,山4#煤层,1470,,,1,27,0.3,,2.06,0.32,392.5,7.5,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,碳质泥岩,2550,,,1.9,31,1.2,,3.51,0.29,400,6,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,中粒砂岩,2850,,,3.52,32,1.8,,6.32,0.27,406,8,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,高岭岩,2550,,,2.3,30,1.05,,2.95,0.28,414,4.5,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,砾岩,2520,,,2.5,31,1,,3.04,0.28,418.5,5.3,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,碳质泥岩,2360,,,2.3,29,1.2,,2.61,0.3,423.8,1.2,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,C3#煤层,1465,,,1,27,0.3,,2.01,0.32,425,5.5,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,碳质泥岩,2360,,,1.3,29,1.2,,3.51,0.3,430.5,3.2,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,高岭岩,2450,,,2.1,30,1.2,,4.54,0.3,433.7,3.6,,,,,
近距离煤层应力拱形态与支承压力分布演化研究,燕子山煤矿,山西,,中粒砂岩,2580,,,2.4,32,1.5,,6.33,0.28,437.3,5.5,,,,,
“断层-褶皱”构造区巷道冲击地压机理及失稳规律,孟村煤矿,陕西,咸阳市,粗粒砂岩,,,2.14,2.7,33,1.34,,5.3,,680,,,,,,
“断层-褶皱”构造区巷道冲击地压机理及失稳规律,孟村煤矿,陕西,,细粒砂岩,,,1.25,3.8,28,1.71,,3.05,,680,,,,,,
“断层-褶皱”构造区巷道冲击地压机理及失稳规律,孟村煤矿,陕西,,砂质泥岩,,,1.35,3.3,32,1.21,,3.3,,680,,,,,,
“断层-褶皱”构造区巷道冲击地压机理及失稳规律,孟村煤矿,陕西,,4煤,,,0.98,3.6,29,1.33,,2.6,,680,,,,,,
“断层-褶皱”构造区巷道冲击地压机理及失稳规律,孟村煤矿,陕西,,泥岩,,,0.91,2.5,28,1.34,,2.31,,680,,,,,,
“断层-褶皱”构造区巷道冲击地压机理及失稳规律,孟村煤矿,陕西,,铝质泥岩,,,0.98,3.3,29,2.3,,2.41,,680,,,,,,
蓄水采空区区段煤柱采动水浸弱化机制与失稳特征,某矿,陕西,榆林市,中粒砂岩,2500,5.1,2.7,6.5,27,1.8,,,,267.4,,,,,,
蓄水采空区区段煤柱采动水浸弱化机制与失稳特征,某矿,陕西,,细粒砂岩,2350,5.4,3.6,5.8,23,2.4,,,,294.9,,,,,,
蓄水采空区区段煤柱采动水浸弱化机制与失稳特征,某矿,陕西,,2-2#煤,1400,5.5,4.2,4.7,35,1.02,,,,300,,,,,,
蓄水采空区区段煤柱采动水浸弱化机制与失稳特征,某矿,陕西,,粉砂岩,2500,8.3,6.2,7.5,32,3.1,,,,320.1,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,徐州市,中粗砂岩,2800,6,5,3,38,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,砂质泥岩,2700,2.68,1.84,2,32,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,细砂岩,2600,5.56,4.17,2,35,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,泥岩,2200,2.03,0.68,1.2,27,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,7#煤层,1400,1.19,0.37,0.8,23,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,泥岩,2200,2.03,0.68,1.2,27,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,细砂岩,2600,5.56,4.17,2,35,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,9#煤层,1400,1.19,0.37,0.8,23,,,,,1130,,,,,,
深部煤层分叉合并区采动应力演化机理及控制技术,张双楼煤矿,江苏,,砂质泥岩,2700,2.68,1.84,2,32,,,,,1130,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,兰州市,油页岩,2100,3.4,2.8,1.9,33,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,油砂互层,2500,6,4.3,1.2,36,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,油页岩,2100,3.4,2.8,1.9,33,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,铝质泥岩,2418,4.5,2.2,2.3,35,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,煤一层,1328,1,0.4,2.8,30,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,油页岩,2100,3.4,2.8,1.9,33,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,细砂岩,2800,8,4,3.9,33,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,煤二层,1328,1,0.4,2.8,30,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,粉砂岩,2450,4,2,2.5,36,,,,,495,,,,,,
急倾斜特厚煤层“错动—夹持”型冲击地压机理,窑街三矿, 甘肃,,粗砂岩,2250,4,2,2.5,40,,,,,495,,,,,,
回采巷道交替循环超前支护技术研究与应用,塔山矿,山西,太原市,中细砂岩,2531,7.88,6.69,49.88,44.85,4.78,,,,525,,,,,,
回采巷道交替循环超前支护技术研究与应用,塔山矿,山西,,泥岩及砂质泥岩,1570,3.94,2.25,14.77,38.13,1.54,,,,525,,,,,,
回采巷道交替循环超前支护技术研究与应用,塔山矿,山西,,煤层,1364,1.19,0.92,8.72,32.64,1.28,,,,525,,,,,,
回采巷道交替循环超前支护技术研究与应用,塔山矿,山西,,泥岩,1632,3.52,1.91,12.12,33.52,1.32,,,,525,,,,,,
深井直角梯形回采巷道变形破坏规律与控制技术,张双楼煤矿,江苏,徐州市,泥岩,2200,3.03,1.56,1.2,27,1,,,,1000,,,,,,
深井直角梯形回采巷道变形破坏规律与控制技术,张双楼煤矿,江苏,,细粒砂岩,2600,5.56,4.17,2,35,2.5,,,,1000,,,,,,
深井直角梯形回采巷道变形破坏规律与控制技术,张双楼煤矿,江苏,,粉砂岩,2700,2.68,1.84,2,32,2,,,,1000,,,,,,
深井直角梯形回采巷道变形破坏规律与控制技术,张双楼煤矿,江苏,,中粒砂岩,2800,6,5,3,38,3,,,,1000,,,,,,
深井直角梯形回采巷道变形破坏规律与控制技术,张双楼煤矿,江苏,,煤,1400,1.19,0.37,0.8,23,0.5,,,,1000,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,榆林市,粉砂岩,2750,9.83,5.25,6.26,35,4.64,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,砂质泥岩,2530,5.12,4.73,2.45,40,2.01,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,粗粒砂岩,2430,8.67,5.4,3.56,40,3.34,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,砂质泥岩,2360,9.54,6.24,2.24,32,3.47,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,细粒砂岩,2472,8.86,4.86,3.42,34,2.86,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,中粒砂岩,2450,9.74,7.29,2.8,35,4.46,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,2#煤层,1400,4.61,2.48,2.24,25,1.45,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,泥岩,2250,6.8,3.2,2.88,30,2.86,,,,155,,,,,,
回采巷道肩角泥岩片冒机理与防控,冯家塔煤矿,陕西,,煤线,1400,4.61,2.48,2.24,25,1.45,,,,155,,,,,,
山区多煤层重复采动下地表变形特征,西曲煤矿,山西,古交市,砂质泥岩,2520,,,4.36,14.2,3,,,0.12,250,,,,,,
山区多煤层重复采动下地表变形特征,西曲煤矿,山西,,砂泥岩互层,2600,,,4.95,15.4,3.25,,,0.22,250,,,,,,
山区多煤层重复采动下地表变形特征,西曲煤矿,山西,,煤,2100,,,2.4,5.2,1.28,,,0.2,250,,,,,,
山区多煤层重复采动下地表变形特征,西曲煤矿,山西,,石灰岩,2750,,,5.9,6.57,3.9,,,0.26,250,,,,,,
山区多煤层重复采动下地表变形特征,西曲煤矿,山西,,砂岩,2700,,,5.6,16.7,3.5,,,0.21,250,,,,,,
上行采动影响下遗留群柱动态稳定性研究,元宝湾煤业,山西,朔州市,粉砂岩,2420,2.7,4.1,3.25,32,2.1,,,,140,,,,,,
上行采动影响下遗留群柱动态稳定性研究,元宝湾煤业,山西,,细砂岩,2500,11.8,8,4.5,38,1.8,,,,140,,,,,,
上行采动影响下遗留群柱动态稳定性研究,元宝湾煤业,山西,,粗砂岩,2480,5.6,5.6,3,33,1.7,,,,140,,,,,,
上行采动影响下遗留群柱动态稳定性研究,元宝湾煤业,山西,,煤层,1400,6,4.8,1.81,28,0.9,,,,140,,,,,,
上行采动影响下遗留群柱动态稳定性研究,元宝湾煤业,山西,,泥岩,2450,8.3,6.4,1.8,28,1.6,,,,140,,,,,,
上行采动影响下遗留群柱动态稳定性研究,元宝湾煤业,山西,,砂质泥岩,2550,13,7.2,4,35,1.65,,,,140,,,,,,
砌块充填沿空留巷底鼓大变形机理及综合控制技术,发耳煤矿,贵州,水城县,泥质粉砂岩,2350,3.36,2.3,35,1.8,4.21,,,,209,,,,,,
砌块充填沿空留巷底鼓大变形机理及综合控制技术,发耳煤矿,贵州,,煤,1370,2.8,1.2,27,0.6,0.4,,,,209,,,,,,
砌块充填沿空留巷底鼓大变形机理及综合控制技术,发耳煤矿,贵州,,细砂岩,2570,6.25,3.57,31,2.4,9.5,,,,209,,,,,,
砌块充填沿空留巷底鼓大变形机理及综合控制技术,发耳煤矿,贵州,,粉砂质泥岩,2400,10.76,3.2,30,1.4,1.64,,,,209,,,,,,
砌块充填沿空留巷底鼓大变形机理及综合控制技术,发耳煤矿,贵州,,泥岩,2463,3.94,2.6,30,1.2,1.68,,,,209,,,,,,
大倾角煤层分层综采再生顶板应力分布规律研究,潘北矿,安徽,淮南矿区,中砂岩,,,,1.7,21,,,2.9,,470,,,,,,
大倾角煤层分层综采再生顶板应力分布规律研究,潘北矿,安徽,,细砂岩,,,,2.3,22,,,3.6,,470,,,,,,
大倾角煤层分层综采再生顶板应力分布规律研究,潘北矿,安徽,,砂质泥岩,,,,0.8,15,,,1.4,,470,,,,,,
大倾角煤层分层综采再生顶板应力分布规律研究,潘北矿,安徽,,泥岩,,,,0.3,11,,,0.7,,470,,,,,,
大倾角煤层分层综采再生顶板应力分布规律研究,潘北矿,安徽,,煤层,,,,0.1,6,,,0.3,,470,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,平凉市,煤层1,1450,0.42,0.19,0.89,30,0.35,,,,510,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,泥岩,2420,0.91,0.47,1.51,28,0.43,,,,514,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,粗砂岩,2710,1.16,0.72,1.43,32,0.55,,,,500,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,粉砂岩、细砂岩,2640,1.13,0.68,1.32,31,0.54,,,,495,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,粉砂岩,2530,1.36,0.82,1.69,33,0.79,,,,487,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,粗砂岩、中砂岩,2410,1.18,0.75,1.45,32,0.61,,,,447,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,粗砂岩、粉砂岩,2410,1.76,1.13,1.83,34,0.88,,,,421,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,粗砂质泥岩,2220,0.94,0.56,2.06,30,0.72,,,,391,,,,,,
水体下特厚煤层综放开采导水裂隙带高度发育特征研究,陈家沟煤矿,甘肃,,粉砂质泥岩,2530,0.93,0.51,2.16,32,0.72,,,,350,,,,,,
冲击地压应力流思想及其控制理论初探,义马矿区,河南,三门峡市,砾岩,2720,32.1,18.1,5.52,43.4,2.5,,,,700,,,,,,
冲击地压应力流思想及其控制理论初探,义马矿区,河南,,砂岩砾岩互层,2490,1.89,0.63,1.9,27,1.8,,,,700,,,,,,
冲击地压应力流思想及其控制理论初探,义马矿区,河南,,泥岩,2658,1.36,1.29,1.2,29.2,1.24,,,,700,,,,,,
冲击地压应力流思想及其控制理论初探,义马矿区,河南,,煤层,1350,0.53,0.18,1,23.1,0.8,,,,700,,,,,,
冲击地压应力流思想及其控制理论初探,义马矿区,河南,,泥岩砂岩互层,2588,2.24,1.68,5.86,16,4.58,,,,700,,,,,,
急倾斜特厚煤层水平分层大采高充填膏体与煤体协调承载特性研究,窑街煤电集团三矿,甘肃,窑街镇,铝质泥岩,2600,6.8,3,1.6,28,2,,,,500,,,,,,
急倾斜特厚煤层水平分层大采高充填膏体与煤体协调承载特性研究,窑街煤电集团三矿,甘肃,,1#煤,1500,1.83,0.85,1.45,42,1.1,,,,500,,,,,,
急倾斜特厚煤层水平分层大采高充填膏体与煤体协调承载特性研究,窑街煤电集团三矿,甘肃,,细砂岩,2500,3.27,1.25,2.33,44,1.5,,,,500,,,,,,
急倾斜特厚煤层水平分层大采高充填膏体与煤体协调承载特性研究,窑街煤电集团三矿,甘肃,,2#煤,1500,1.98,0.87,2.6,45,1.2,,,,500,,,,,,
急倾斜特厚煤层水平分层大采高充填膏体与煤体协调承载特性研究,窑街煤电集团三矿,甘肃,,砂岩,2600,8.8,6.2,3.3,35,4.5,,,,500,,,,,,
非等宽复合柱采区中部遗煤开采可行性分析,晋华宫煤矿,山西,大同市,中砂岩,2700,9.6,4.7,7.2,32,5.21,,,,293,,,,,,
非等宽复合柱采区中部遗煤开采可行性分析,晋华宫煤矿,山西,,煤,1400,7.2,1.8,2.82,28,3.13,,,,293,,,,,,
非等宽复合柱采区中部遗煤开采可行性分析,晋华宫煤矿,山西,,砂质页岩,2420,4.2,2.91,4.52,35,2.47,,,,293,,,,,,
非等宽复合柱采区中部遗煤开采可行性分析,晋华宫煤矿,山西,,粉砂岩,2580,6.23,3.43,1.4,45,3.56,,,,293,,,,,,
非等宽复合柱采区中部遗煤开采可行性分析,晋华宫煤矿,山西,,粗砂岩,2800,8.4,3.72,8.27,37,6.22,,,,293,,,,,,
非等宽复合柱采区中部遗煤开采可行性分析,晋华宫煤矿,山西,,细砂岩,2650,7.1,2.91,5.45,37,4.06,,,,293,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,鄂尔多斯市,粉砂质泥岩,2300,3.6,1.8,3.5,25,1.7,,,,244,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,,泥质粉砂岩,2400,3.8,2,3.5,29,1.2,,,,244,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,,粗砂岩,2400,4,2,3.7,28,1.6,,,,244,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,,细砂岩,2400,3.6,2,5.5,25,2,,,,244,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,,粉砂岩,2300,4.9,2.55,5.9,33,2.8,,,,244,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,,中砂岩,2400,5.7,3.25,6.8,35,6.5,,,,244,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,,泥质粉砂岩,2400,3.6,2,3.5,29,1.2,,,,244,,,,,,
8.8 m支架超大采高工作面矿压规律及覆岩破断结构研究,上湾煤矿,内蒙古,,钙质中砂岩,2400,5.7,3.25,6.8,35,6.5,,,,244,,,,,,
