序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
4,黄土,105.14,0.54,1800,0.0,
3,砂质泥岩,7.7,7.17,2680,1.32,
2,中粒砂岩,3.53,20.0,2570,2.72,112.84
1,高岭质泥岩,3.05,7.17,2680,1.04,14.280000000000001
0,6煤,4.6,2.72,1410,0.83,
